类比推理,正确答案,deepseek回答,deepseek回答正确率,chatgpt回答,chatgpt回答正确率,deepseek思维链回答,deepseek思维链回答正确率,chatgpt思维链回答,chatgpt思维链回答正确率,,
"檀香：麝香：香料

A、木材：钢筋：建材B、日光：月光：光明C、薯条：粉条：食物D、鲸鱼：鲍鱼：海鱼",A,A,1,C,,A,1,A,1,,
"中央预算：年度预算：地方预算

A、历史题材：军事题材：现实题材B、户外广告：文字广告：电视广告C、知识创新：技术创新：管理创新D、人身权利：生命权利：财产权利",A,C,,D,,C,,D,,,
"健康监测：体检：疾病筛查

A、为国聚财：税收：调节分配B、发掘遗迹：考古：考证年代C、解决争议：审判：强制执行D、太空飞行：航天：地质分析",A,B,,C,,B,,C,,,
"物体：惯性

A、气体：稳定性B、观察：客观性C、贵金属：磁性D、液体：流动性",D,D,1,D,1,D,1,D,1,,
"全身麻醉：注射麻醉

A、网络存储：单机存储B、胸式呼吸：腹式呼吸C、物理消毒：加热消毒D、抽样调查：问卷调查",D,C,,D,1,B,,D,1,,
"物必先腐：而后虫生

A、古木无人径：深山何处钟B、水落鱼梁浅：天寒梦泽深C、少壮不努力：老大徒伤悲D、欲投人处宿：隔水问樵夫",C,C,1,B,,C,1,C,1,,
"轻车熟路：人生地疏

A、廉洁奉公：卑躬屈膝B、任重道远：无所事事C、前仆后继：贪生怕死D、河清海晏：国泰民安",C,C,1,C,1,C,1,C,1,,
"路由器：连接：网络

A、千斤顶：修补：轮胎B、石英钟：显示：时间C、万花筒：观察：花卉D、烽火台：侦察：敌情",B,B,1,B,1,B,1,B,1,,
"建筑材料：混凝土：水泥

A、饮料：汽水：二氧化碳B、医疗用具：注射器：药物C、监控：监视器：画面D、交通设施：减速带：警示牌",A,A,1,B,,A,1,A,1,,
"本能行为：学习行为：乌贼喷墨

A、合法行为：合理行为：盗窃财物B、物理变化：化学变化：树木折断C、生产管理：销售管理：退货处理D、社会现象：自然现象：四季变换",B,D,,D,,D,,A,,,
"税前收入：税后收入：税金

A、法律规定：道德规范：规则B、测量高度：真实高度：误差C、高原地区：平原地区：纬度D、生产成本：出厂价格：销售价",B,B,1,D,,B,1,B,1,,
"分母：除数

A、内角：外角B、加减法：乘除法C、横坐标：纵坐标D、百分比：百分率",D,D,1,D,1,D,1,D,1,,
"马蹄莲：蟹爪兰

A、牵牛花：美人蕉B、卷心菜：夜来香C、灯笼椒：金针菇D、佛手柑：含羞草",C,A,,A,,A,,C,1,,
"刻舟：求剑

A、里应：外合B、掩耳：盗铃C、打草：惊蛇D、指桑：骂槐",B,B,1,B,1,B,1,B,1,,
"直线交叉：直线不平行

A、B、100：沸腾C、：臭氧D、：圆面积",A,D,,C,,A,1,B,,,
"金库：现钞：保管

A、网球场：球迷：观看B、电缆车：景区：观光C、录音棚：专辑：播放D、美术馆：字画：陈列",D,D,1,D,1,D,1,D,1,,
"山洪：村民：士兵

A、狂风：雷电：灯塔B、事故：伤员：医生C、海啸：船舶：渔民D、婚礼：新人：主持",B,B,1,B,1,B,1,B,1,,
"病毒：传染病：流行性

A、毒驾：车祸：危害性B、市场：交易：自发性C、噪声：听力损伤：普遍性D、甜食：肥胖症：突发性",A,C,,A,1,C,,B,,,
"微量元素：稀有金属：铜

A、木本植物：草本植物：松树B、海洋动物：哺乳动物：北极熊C、内陆湖：淡水湖：青海湖D、节肢动物：两栖动物：鳄鱼",C,C,1,B,,C,1,C,1,,
"法律：法盲

A、文字：文盲B、雪地：雪盲C、地图：路盲D、黑暗：夜盲",A,A,1,A,1,A,1,A,1,,
"羔羊跪乳：乌鸦反哺

A、昙花一现：惊鸿一瞥B、魂不附体：失魂落魄C、锋芒毕露：锐不可当D、朽木难雕：孺子可教",B,B,1,D,,C,,B,1,,
"花椒：麻

A、月亮：圆B、水泥：硬C、饮料：冷D、火焰：热",D,D,1,D,1,D,1,D,1,,
"众人拾柴：火焰高

A、多行不义：必自毙B、打破沙锅：问到底C、敬酒不吃：吃罚酒D、四海之内：皆兄弟",A,B,,D,,A,1,A,1,,
"闪电战：战术：突袭

A、润滑油：机械：减震B、戈壁滩：地形：干旱C、防空洞：轰炸：隐蔽D、斑马线：标记：通过",D,D,1,C,,D,1,D,1,,
"飞禽走兽：大雁：海鸥

A、珍馐美馔：山珍：海味B、花鸟鱼虫：鹦鹉：画眉C、锦衣玉食：蟒袍：霞帔D、卧虎藏龙：猛虎：蛟龙",C,C,1,B,,C,1,C,1,,
"蛋：卤蛋：松花蛋

A、豆：红豆：四季豆B、油：牛油：植物油C、瓜：丝瓜：白兰瓜D、茶：白茶：乌龙茶",D,B,,D,1,D,1,D,1,,
"白醋：消毒

A、热水器：加热B、汽油：去渍C、白糖：调味D、人参：滋补",B,D,,C,,D,,D,,,
"成百：上千

A、三教：九流B、三头：六臂C、千变：万化D、千方：百计",C,C,1,C,1,C,1,C,1,,
"生死：存亡

A、轻重：缓急B、亲疏：长幼C、真伪：对错D、好坏：优劣",D,A,,C,,D,1,C,,,
"踢皮球：互相推诿

A、燕归巢：时过境迁B、破天荒：闻所未闻C、睁眼瞎：目不识丁D、纸老虎：不堪一击",C,C,1,C,1,C,1,C,1,,
"战术：战争：胜负

A、血型：人种：胖瘦B、诉状：案件：输赢C、策略：竞选：成败D、经验：能力：高低",C,B,,C,1,C,1,C,1,,
"观众：电视：新闻

A、士兵：靶场：命令B、渔夫：渔船：渔汛C、教师：课堂：知识D、消费者：消费指南：优惠信息",D,C,,C,,C,,D,1,,
"寒：寒冷：寒舍

A、甘：甘甜：甘愿B、恨：仇恨：怨恨C、肤：皮肤：肌肤D、讽：讽刺：讥讽",A,D,,C,,B,,A,1,,
"设计：发放：问卷

A、播放：快进：磁带B、制定：执行：政策C、复制：修改：文字D、预习：复习：考试",B,B,1,A,,B,1,B,1,,
"白驹过隙：秒表

A、恩重如山：天平B、一线希望：皮尺C、一言九鼎：弹簧秤D、风驰电掣：测速仪",D,D,1,B,,D,1,D,1,,
"森林：郁郁葱葱

A、法庭：庄严肃穆B、校园：勤奋好学C、餐桌：饕餮大餐D、公园：嬉戏玩闹",A,A,1,D,,A,1,A,1,,
"佩刀：刀鞘

A、墨：墨盒B、火箭：发射架C、毛笔：笔帽",C,C,1,A,,C,1,C,1,,
"琴棋书画：经史子集

A、兵强马壮：闭关自守B、悲欢离合：漂泊流浪C、衣帽鞋袜：冰清玉洁D、鸟兽虫鱼：江河湖海",D,D,1,B,,D,1,D,1,,
"教：学：教学

A、买：卖：买卖B、好：坏：好坏C、正：大：正大D、阴：暗：阴暗",A,A,1,C,,A,1,A,1,,
"前瞻：预见：回溯

A、深谋远虑：未雨绸缪：鼠目寸光

B、标新立异：特立独行：循规蹈矩

C、犬牙交错：参差不齐：顺理成章

D、墨守成规：井然有序：纷乱如麻",B,B,1,D,,B,1,B,1,,
"素描：单色：绘画

A、色素：食品：添加剂B、书签：阅读：工具C、变脸：表演：艺术D、新闻：纪实：文体",D,D,1,C,,D,1,D,1,,
"自然科学：化学：化学元素

A、人文科学：历史学：历史人物
B、物理学：生物物理学：光合作用

C、语言学：汉语言：文学D、社会学：社会科学：社区",A,A,1,D,,A,1,A,1,,
"小麦：馒头

A、麋鹿：麝香B、叶绿体：细胞C、乌贼：墨汁D、棉花：布鞋",D,D,1,D,1,D,1,D,1,,
"八卦：乾坤

A、九族：师生B、七情：情志C、五音：宫商D、四书：五经",C,C,1,C,1,C,1,C,1,,
"春夏秋冬：四季

A、喜怒哀乐：情绪B、赤橙黄绿：颜色C、早中晚：一天D、东南西北：四方",D,D,1,D,1,D,1,D,1,,
"深入：浅尝辄止

A、疏远：形影不离B、细致：事无巨细C、安定：水深火热D、独立：自食其力",A,A,1,A,1,A,1,A,1,,
"音符：乐谱：五线谱

A、笔画：汉字：金文B、树木：森林：自然C、稻穗：稻谷：香米D、卫星：星云：宇宙",A,A,1,A,1,A,1,A,1,,
"经济赤字：收入：开支

A、债务纠纷：还钱：借钱B、优胜劣汰：适应：淘汰C、销售利润：进价：售价D、背信弃义：诺言：谎言",C,C,1,C,1,C,1,A,,,
"鸳鸯：凤凰：雄雌

A、翡翠：珊瑚：红绿B、经纬：阡陌：纵横C、满月：弦月：盈缺D、锱铢：分毫：长短",B,B,1,C,,B,1,B,1,,
"铁匠：火炉：镰刀

A、医学家：试管：药剂B、记者：摄像机：新闻稿C、科学家：科技文献：新产品D、网民：互联网：营销",A,A,1,A,1,A,1,A,1,,
"（ ） 对于 演员 相当于 指挥 对于 （ ）

A
主演；主唱

B
导演；乐手

C
演出；演奏

D
主角；观众",C,B,,B,,B,,C,1,,
"旱田作物：粮食作物：玉米

A
新闻媒体：广播电视：电台

B
陆地动物：软体动物：蚯蚓

C
女性法官：外国法官：法官

D
国有企业：大型企业：集团",B,D,,A,,B,1,B,1,,
"花海：书山

A
怒火：苦雨

B
车流：人潮

C
雪白：麦浪

D
龙舟：木马",B,B,1,B,1,B,1,B,1,,
"细胞核：细胞质：细胞

A
绝缘体：半导体：导电

B
碳中和：碳达峰：环保

C
真皮：表皮：皮肤

D
牙冠：牙齿：牙龈",C,C,1,C,1,C,1,C,1,,
"柴门闻犬吠：风雪夜归人

A
意欲捕鸣蝉：忽然闭口立

B
向晚意不适：驱车登古原

C
不敢高声语：恐惊天上人

D
举头望明月：低头思故乡",C,D,,C,1,D,,B,,,
"停：行：止

A
日：月：星

B
满：亏：盈

C
没：有：无

D
萌：荣：枯",C,D,,B,,B,,D,,,
"缘木求鱼 对于 （ ） 相当于 （ ） 对于 抱薪救火

A
事与愿违 抽薪止沸

B
南辕北辙 通宵达旦

C
刻舟求剑 纵风止燎

D
扬汤止沸 凿壁偷光",C,B,,A,,C,1,A,,,
"桃红：橘绿：橙黄

A
蚕食：牛饮：鲸吞

B
中医：西医：名医

C
软卧：硬卧：卧铺

D
被告：原告：控告",A,A,1,A,1,A,1,A,1,,
"乌鸡：公鸡：雏鸡

A
军刀：钢刀：菜刀

B
城门：石门：拱门

C
质数：单数：负数

D
泰山：名山：高山",B,B,1,A,,B,1,B,1,,
"火：火急：火警

A
虎：虎将：虎劲

B
蛇：蛇行：蛇胆

C
牛：牛毛：牛饮

D
鹊：鹊桥：鹊起",B,C,,D,,D,,B,1,,
"建筑工人 对于 （ ） 相当于 （ ） 对于 汽车芯片

A
高楼大厦；芯片厂商

B
焊工；手机芯片

C
建筑；汽车

D
工人宿舍；汽车零件",A,A,1,B,,A,1,A,1,,
"（ ） 对于 妙手回春 相当于 军人 对于 （ ）

A
华佗再世；军官

B
悬壶济世；百姓

C
医生；戎马倥偬

D
大夫；视死如归",C,C,1,D,,C,1,C,1,,
"梅花：梅花糕：糕

A
葡萄：葡萄酒：酒

B
珊瑚：珊瑚树：树

C
桥头：桥头堡：堡

D
面包：面包车：车",D,D,1,A,,D,1,A,,,
"（ ） 对于 有所作为 相当于 知行合一 对于 （ ）

A
拼搏向上；学而不思

B
勤奋进取；空谈误国

C
自强不息；成就事业

D
勇于开拓；温故知新",C,A,,B,,C,1,C,1,,
"奔：跑：快

A
崎：岖：路

B
飞：翔：高

C
写：字：好

D
督：促：严
",B,B,1,B,1,B,1,B,1,,
"墨鱼：乌贼

A
蚱蜢：蝗虫

B
蜜蜂：黄蜂

C
知了：蝉

D
金龟子：天牛",C,D,,C,1,C,1,C,1,,
"斤：两：钱

A
眼：口：手

B
年：月：日

C
天：时：秒

D
孟：仲：季",B,B,1,B,1,B,1,B,1,,
"政通人和：国泰民安

A
深思熟虑：不假思索

B
星罗棋布：漫山遍野

C
心领神会：心照不宣

D
奋起直追：迎头赶上",D,C,,B,,D,1,D,1,,
"杞人忧天 之于 （ ） 相当于 （ ） 之于 自不量力

A
庸人自扰；螳臂当车

B
局促不安；蜉蝣撼树

C
叶公好龙；夜郎自大

D
郑人买履；自以为是",A,A,1,A,1,A,1,A,1,,
"酒器：尊：爵

A
门楣：门框：门槛

B
服装：礼服：常服

C
人居：巢居：穴居

D
木柱：石柱：砖柱",B,B,1,B,1,B,1,B,1,,
"热传递：热传导：热辐射

A
隔离：冷却：灭火

B
混合物：化合物：纯净物

C
播种：撒播：条播

D
说明文：举例子：作比较",C,A,,C,1,C,1,B,,,
,,,65/100,,49/100,,77/100,,78/100,,
,,,65%,,49%,,77%,,78%,,
